id,type,observedat,rpid,inputWasteBatchId,materialType,polymerGrade,quantity,quantity_unitCode,recycledContent,virginContent,entryDate,recyclingDate,supplierId,supplierName,province,country,lerCode,nimaCode,wasteOrigin,processLine,operatorId,shiftCode,moistureLevel,contaminationLevel,bulkDensity,bulkDensity_unitCode,meltFlowIndex,meltFlowIndex_unitCode,batchStatus,qualityGrade,storageWarehouse,observations
urn:ngsi-ld:circuloos:plasnovo:RPID00011,plasnovo_recycling,2026-01-25T07:45:00Z,RPID-2026-00011,IWB-2026-0011,PP,PP-C-042,1680.5,KGM,96.8,3.2,2026-01-24,2026-01-25,B12345678,EcoPlastics SL,Alicante,ES,150102,4603000123,post-industrial,LINE-A,OP-031,M,0.40,low,0.58,KMQ,11.5,G2,APPROVED,A,WH-01,sin observaciones
urn:ngsi-ld:circuloos:plasnovo:RPID00012,plasnovo_recycling,2026-01-26T12:20:00Z,RPID-2026-00012,IWB-2026-0012,PS,PS-HI-450,920.3,KGM,91.5,8.5,2026-01-25,2026-01-26,A99887766,Plasticos del Mediterraneo SA,Castellon,ES,200139,4603000321,post-consumer,LINE-C,OP-045,T,0.95,medium,0.61,KMQ,7.9,G2,APPROVED,B,WH-03,revalidado tras tamizado
urn:ngsi-ld:circuloos:plasnovo:RPID00013,plasnovo_recycling,2026-01-27T08:15:00Z,RPID-2026-00013,IWB-2026-0013,ASA,ASA-NAT-770,1420.0,KGM,94.0,6.0,2026-01-26,2026-01-27,B11223344,Polimeros Sureste SLU,Murcia,ES,150102,4603000789,post-industrial,LINE-A,OP-014,M,0.33,low,0.62,KMQ,15.5,G2,APPROVED,A,WH-01,sin observaciones
urn:ngsi-ld:circuloos:plasnovo:RPID00014,plasnovo_recycling,2026-01-28T11:35:00Z,RPID-2026-00014,IWB-2026-0014,PP,PP-H-035,2010.6,KGM,98.7,1.3,2026-01-27,2026-01-28,B55443322,Iberica de Reciclaje SL,Valencia,ES,150102,4603000456,post-industrial,LINE-A,OP-031,T,0.30,low,0.56,KMQ,12.3,G2,APPROVED,A,WH-01,batch nominal
urn:ngsi-ld:circuloos:plasnovo:RPID00015,plasnovo_recycling,2026-01-29T09:00:00Z,RPID-2026-00015,IWB-2026-0015,PS,PS-GP-200,810.4,KGM,93.2,6.8,2026-01-28,2026-01-29,A87654321,Reciclados Levante SA,Valencia,ES,150102,4603000456,post-consumer,LINE-B,OP-022,N,0.82,medium,0.60,KMQ,8.1,G2,APPROVED,B,WH-02,sin observaciones
urn:ngsi-ld:circuloos:plasnovo:RPID00016,plasnovo_recycling,2026-01-30T13:50:00Z,RPID-2026-00016,IWB-2026-0016,PP,PP-C-042,1750.9,KGM,97.0,3.0,2026-01-29,2026-01-30,B12345678,EcoPlastics SL,Alicante,ES,150102,4603000123,post-industrial,LINE-A,OP-014,M,0.36,low,0.57,KMQ,11.7,G2,APPROVED,A,WH-01,sin observaciones
urn:ngsi-ld:circuloos:plasnovo:RPID00017,plasnovo_recycling,2026-01-31T07:55:00Z,RPID-2026-00017,IWB-2026-0017,ASA,ASA-NAT-770,1340.2,KGM,92.5,7.5,2026-01-30,2026-01-31,B11223344,Polimeros Sureste SLU,Murcia,ES,150102,4603000789,post-industrial,LINE-A,OP-031,T,0.34,low,0.61,KMQ,15.9,G2,APPROVED,A,WH-01,reservado para chasis
urn:ngsi-ld:circuloos:plasnovo:RPID00018,plasnovo_recycling,2026-02-01T10:25:00Z,RPID-2026-00018,IWB-2026-0018,PP,PP-H-035,2180.7,KGM,99.0,1.0,2026-01-31,2026-02-01,B55443322,Iberica de Reciclaje SL,Castellon,ES,150102,4603000321,post-industrial,LINE-A,OP-014,N,0.27,low,0.55,KMQ,12.6,G2,APPROVED,A,WH-01,batch consolidado premium
urn:ngsi-ld:circuloos:plasnovo:RPID00019,plasnovo_recycling,2026-02-02T08:40:00Z,RPID-2026-00019,IWB-2026-0019,PS,PS-HI-450,890.6,KGM,89.5,10.5,2026-02-01,2026-02-02,A99887766,Plasticos del Mediterraneo SA,Castellon,ES,200139,4603000321,post-consumer,LINE-C,OP-045,M,1.10,high,0.59,KMQ,7.2,G3,REJECTED,C,WH-99,contaminacion superior a umbral devuelto a proveedor
urn:ngsi-ld:circuloos:plasnovo:RPID00020,plasnovo_recycling,2026-02-03T12:10:00Z,RPID-2026-00020,IWB-2026-0020,PP,PP-C-042,1890.0,KGM,98.2,1.8,2026-02-02,2026-02-03,B12345678,EcoPlastics SL,Alicante,ES,150102,4603000123,post-industrial,LINE-A,OP-031,T,0.32,low,0.58,KMQ,11.9,G2,APPROVED,A,WH-01,sin observaciones
