id,type,observedat,productionOrderId,productReference,productFamily,machineId,machineTonnage,mouldId,mouldCavities,materialType,materialBatchId,recycledContent,colorBatchId,colorName,injectedQuantity,plannedQuantity,scrapQuantity,defectiveQuantity,okQuantity,cycleTime,cycleTime_unitCode,injectionPressure,injectionPressure_unitCode,meltTemperature,meltTemperature_unitCode,unitWeight,unitWeight_unitCode,energyConsumption,energyConsumption_unitCode,operatorId,shiftCode,productionDate,startTime,endTime,qualityStatus,defectType,correctiveAction,observations
urn:ngsi-ld:circuloos:molto:PROD00011,molto_production,2026-02-11T07:00:00Z,PO-2026-0011,WHEEL-BLUE-120MM,wheels,MCH-007,180,MLD-WH120,4,PP,RPID-2026-00011,96.8,COL-BLUE-002,Cobalt Blue,4900,5000,35,65,4900,18.4,SEC,855,BAR,225,CEL,42.2,GRM,148.0,KWH,OP-101,M,2026-02-11,2026-02-11T07:00:00Z,2026-02-11T15:00:00Z,OK,none,none,sin incidencias
urn:ngsi-ld:circuloos:molto:PROD00012,molto_production,2026-02-12T08:00:00Z,PO-2026-0012,BODY-CHASSIS-A,chassis,MCH-012,320,MLD-CHA01,2,ASA,RPID-2026-00013,94.0,COL-WHITE-003,Pearl White,2950,3000,30,20,2950,32.2,SEC,1105,BAR,251,CEL,185.2,GRM,257.6,KWH,OP-205,M,2026-02-12,2026-02-12T08:00:00Z,2026-02-12T16:30:00Z,OK,none,none,sin incidencias
urn:ngsi-ld:circuloos:molto:PROD00013,molto_production,2026-02-13T07:45:00Z,PO-2026-0013,DOLL-HEAD-S,dolls,MCH-021,90,MLD-DLH01,8,PS,RPID-2026-00012,91.5,COL-PINK-005,Soft Pink,1970,2000,15,15,1970,12.6,SEC,622,BAR,211,CEL,28.6,GRM,83.4,KWH,OP-318,T,2026-02-13,2026-02-13T15:45:00Z,2026-02-13T22:00:00Z,OK,none,none,sin incidencias
urn:ngsi-ld:circuloos:molto:PROD00014,molto_production,2026-02-14T07:00:00Z,PO-2026-0014,WHEEL-GREEN-90MM,wheels,MCH-008,150,MLD-WH090,8,PP,RPID-2026-00014,98.7,COL-GREEN-007,Forest Green,5950,6000,20,30,5950,14.0,SEC,775,BAR,221,CEL,28.6,GRM,141.8,KWH,OP-102,M,2026-02-14,2026-02-14T07:00:00Z,2026-02-14T15:00:00Z,OK,none,none,sin incidencias
urn:ngsi-ld:circuloos:molto:PROD00015,molto_production,2026-02-15T08:30:00Z,PO-2026-0015,BODY-CHASSIS-B,chassis,MCH-012,320,MLD-CHA02,2,ASA,RPID-2026-00017,92.5,COL-RED-001,Ferrari Red,2980,3000,15,5,2980,32.4,SEC,1108,BAR,252,CEL,184.8,GRM,258.3,KWH,OP-205,M,2026-02-15,2026-02-15T08:30:00Z,2026-02-15T17:00:00Z,OK,minor_flash,trimming,sin incidencias
urn:ngsi-ld:circuloos:molto:PROD00016,molto_production,2026-02-16T07:30:00Z,PO-2026-0016,WHEEL-YELLOW-120MM,wheels,MCH-007,180,MLD-WH120,4,PP,RPID-2026-00016,97.0,COL-YELLOW-004,Sun Yellow,4960,5000,15,25,4960,18.1,SEC,853,BAR,225,CEL,42.1,GRM,147.2,KWH,OP-101,M,2026-02-16,2026-02-16T07:30:00Z,2026-02-16T15:30:00Z,OK,none,none,sin incidencias
urn:ngsi-ld:circuloos:molto:PROD00017,molto_production,2026-02-17T08:00:00Z,PO-2026-0017,DOLL-HEAD-S,dolls,MCH-021,90,MLD-DLH01,8,PS,RPID-2026-00015,93.2,COL-BEIGE-006,Skin Beige,1990,2000,5,5,1990,12.5,SEC,620,BAR,210,CEL,28.4,GRM,82.4,KWH,OP-318,M,2026-02-17,2026-02-17T08:00:00Z,2026-02-17T13:30:00Z,OK,none,none,sin incidencias
urn:ngsi-ld:circuloos:molto:PROD00018,molto_production,2026-02-18T07:15:00Z,PO-2026-0018,WHEEL-RED-120MM,wheels,MCH-007,180,MLD-WH120,4,PP,RPID-2026-00018,99.0,COL-RED-001,Ferrari Red,4995,5000,3,2,4995,18.0,SEC,851,BAR,224,CEL,42.0,GRM,146.5,KWH,OP-101,M,2026-02-18,2026-02-18T07:15:00Z,2026-02-18T15:00:00Z,OK,none,none,produccion casi perfecta
urn:ngsi-ld:circuloos:molto:PROD00019,molto_production,2026-02-19T09:00:00Z,PO-2026-0019,BODY-CHASSIS-A,chassis,MCH-012,320,MLD-CHA01,2,ASA,RPID-2026-00007,93.5,COL-WHITE-003,Pearl White,2940,3000,40,20,2940,32.6,SEC,1112,BAR,253,CEL,185.5,GRM,260.1,KWH,OP-205,T,2026-02-19,2026-02-19T15:00:00Z,2026-02-19T23:30:00Z,OK,none,none,sin incidencias
urn:ngsi-ld:circuloos:molto:PROD00020,molto_production,2026-02-20T07:00:00Z,PO-2026-0020,WHEEL-GREEN-90MM,wheels,MCH-008,150,MLD-WH090,8,PP,RPID-2026-00020,98.2,COL-GREEN-007,Forest Green,6000,6000,12,8,6000,14.1,SEC,778,BAR,222,CEL,28.5,GRM,142.0,KWH,OP-102,M,2026-02-20,2026-02-20T07:00:00Z,2026-02-20T15:00:00Z,OK,none,none,produccion al 100 porciento
